type,title,calories,protein,carbs,fat,ingredients,recipe
Breakfast,Oatmeal with Berries,400,10,50,10,"Oats, Milk, Berries, Honey",https://example.com/oatmeal-recipe
Breakfast,Avocado Toast,300,8,20,15,"Bread, Avocado, Olive Oil, Salt",https://example.com/avocado-toast
Lunch,Grilled Chicken Salad,600,40,20,25,"Chicken, Lettuce, Olive Oil, Dressing",https://example.com/grilled-chicken-salad
Lunch,Quinoa Bowl,700,35,50,20,"Quinoa, Chickpeas, Vegetables, Tahini",https://example.com/quinoa-bowl
Dinner,Baked Salmon with Veggies,550,45,30,20,"Salmon, Broccoli, Olive Oil, Lemon",https://example.com/baked-salmon
Dinner,Vegetarian Stir Fry,500,20,60,15,"Tofu, Mixed Vegetables, Soy Sauce, Rice",https://example.com/vegetarian-stir-fry
Breakfast,Breakfast Special 5279,347,68,32,4,"Chicken, Rice, Vegetables, Eggs, Bacon, Toast",https://example.com/breakfast-special-5279
Snack,Snack Special 8044,497,35,25,40,"Fish, Quinoa, Spinach, Bread, Peanut Butter, Banana",https://example.com/snack-special-8044
Dessert,Dessert Special 1187,383,38,62,35,"Bread, Peanut Butter, Banana, Eggs, Bacon, Toast",https://example.com/dessert-special-1187
Dessert,Dessert Special 4469,371,5,29,35,"Fish, Quinoa, Spinach, Smoothie, Berries, Almond Milk",https://example.com/dessert-special-4469
Lunch,Lunch Special 6484,410,14,25,16,"Bread, Peanut Butter, Banana, Chicken, Rice, Vegetables",https://example.com/lunch-special-6484
Snack,Snack Special 4170,612,9,25,38,"Beef, Potatoes, Peas, Chicken, Rice, Vegetables",https://example.com/snack-special-4170
Dinner,Dinner Special 148,853,40,80,12,"Fish, Quinoa, Spinach, Smoothie, Berries, Almond Milk",https://example.com/dinner-special-148
Dessert,Dessert Special 6924,253,25,53,30,"Beef, Potatoes, Peas, Bread, Peanut Butter, Banana",https://example.com/dessert-special-6924
Breakfast,Breakfast Special 6520,325,14,40,28,"Smoothie, Berries, Almond Milk, Fish, Quinoa, Spinach",https://example.com/breakfast-special-6520
Dessert,Dessert Special 3584,381,61,34,14,"Pasta, Tomato Sauce, Cheese, Fish, Quinoa, Spinach",https://example.com/dessert-special-3584
Breakfast,Breakfast Special 4754,486,27,76,12,"Eggs, Bacon, Toast, Fruit Salad, Yogurt, Honey",https://example.com/breakfast-special-4754
Dinner,Dinner Special 2786,733,6,29,36,"Fruit Salad, Yogurt, Honey, Fish, Quinoa, Spinach",https://example.com/dinner-special-2786
Dessert,Dessert Special 9351,332,35,75,1,"Chicken, Rice, Vegetables, Fish, Quinoa, Spinach",https://example.com/dessert-special-9351
Dinner,Dinner Special 3764,536,35,68,19,"Eggs, Bacon, Toast, Fruit Salad, Yogurt, Honey",https://example.com/dinner-special-3764
Dessert,Dessert Special 3714,648,67,20,27,"Fish, Quinoa, Spinach, Beef, Potatoes, Peas",https://example.com/dessert-special-3714
Dinner,Dinner Special 3826,789,58,39,16,"Beef, Potatoes, Peas, Fruit Salad, Yogurt, Honey",https://example.com/dinner-special-3826
Dessert,Dessert Special 9446,586,44,15,34,"Fruit Salad, Yogurt, Honey, Smoothie, Berries, Almond Milk",https://example.com/dessert-special-9446
Breakfast,Breakfast Special 2040,722,56,27,9,"Smoothie, Berries, Almond Milk, Chicken, Rice, Vegetables",https://example.com/breakfast-special-2040
Dinner,Dinner Special 5769,752,36,26,33,"Fish, Quinoa, Spinach, Smoothie, Berries, Almond Milk",https://example.com/dinner-special-5769
Dinner,Dinner Special 6437,439,52,36,31,"Fruit Salad, Yogurt, Honey, Beef, Potatoes, Peas",https://example.com/dinner-special-6437
Dessert,Dessert Special 3830,382,23,34,40,"Pasta, Tomato Sauce, Cheese, Eggs, Bacon, Toast",https://example.com/dessert-special-3830
Snack,Snack Special 2654,672,63,39,4,"Chicken, Rice, Vegetables, Fish, Quinoa, Spinach",https://example.com/snack-special-2654
Dessert,Dessert Special 9307,291,35,51,25,"Bread, Peanut Butter, Banana, Fish, Quinoa, Spinach",https://example.com/dessert-special-9307
Snack,Snack Special 8106,662,44,13,32,"Beef, Potatoes, Peas, Chicken, Rice, Vegetables",https://example.com/snack-special-8106
Lunch,Lunch Special 4698,404,53,74,28,"Eggs, Bacon, Toast, Fruit Salad, Yogurt, Honey",https://example.com/lunch-special-4698
Dinner,Dinner Special 1686,300,68,14,30,"Eggs, Bacon, Toast, Bread, Peanut Butter, Banana",https://example.com/dinner-special-1686
Snack,Snack Special 8395,496,59,43,33,"Fish, Quinoa, Spinach, Fruit Salad, Yogurt, Honey",https://example.com/snack-special-8395
Lunch,Lunch Special 3308,195,16,62,11,"Pasta, Tomato Sauce, Cheese, Beef, Potatoes, Peas",https://example.com/lunch-special-3308
Dessert,Dessert Special 332,417,66,55,27,"Fish, Quinoa, Spinach, Bread, Peanut Butter, Banana",https://example.com/dessert-special-332
Dessert,Dessert Special 3950,457,59,70,25,"Fish, Quinoa, Spinach, Eggs, Bacon, Toast",https://example.com/dessert-special-3950
Snack,Snack Special 7996,578,42,10,30,"Fish, Quinoa, Spinach, Smoothie, Berries, Almond Milk",https://example.com/snack-special-7996
Dessert,Dessert Special 1142,272,43,9,17,"Beef, Potatoes, Peas, Fish, Quinoa, Spinach",https://example.com/dessert-special-1142
Dinner,Dinner Special 995,878,35,21,33,"Fish, Quinoa, Spinach, Eggs, Bacon, Toast",https://example.com/dinner-special-995
Dinner,Dinner Special 1001,337,41,44,36,"Eggs, Bacon, Toast, Beef, Potatoes, Peas",https://example.com/dinner-special-1001
Breakfast,Breakfast Special 580,664,65,30,26,"Eggs, Bacon, Toast, Fish, Quinoa, Spinach",https://example.com/breakfast-special-580
Lunch,Lunch Special 5599,772,29,48,15,"Fish, Quinoa, Spinach, Fruit Salad, Yogurt, Honey",https://example.com/lunch-special-5599
Breakfast,Breakfast Special 3650,284,58,69,36,"Bread, Peanut Butter, Banana, Pasta, Tomato Sauce, Cheese",https://example.com/breakfast-special-3650
Lunch,Lunch Special 9813,421,66,55,8,"Fish, Quinoa, Spinach, Bread, Peanut Butter, Banana",https://example.com/lunch-special-9813
Dessert,Dessert Special 2928,450,46,9,17,"Beef, Potatoes, Peas, Smoothie, Berries, Almond Milk",https://example.com/dessert-special-2928
Lunch,Lunch Special 8154,678,18,35,6,"Pasta, Tomato Sauce, Cheese, Bread, Peanut Butter, Banana",https://example.com/lunch-special-8154
Lunch,Lunch Special 3273,792,50,36,1,"Bread, Peanut Butter, Banana, Chicken, Rice, Vegetables",https://example.com/lunch-special-3273
Breakfast,Breakfast Special 2799,523,27,50,22,"Pasta, Tomato Sauce, Cheese, Chicken, Rice, Vegetables",https://example.com/breakfast-special-2799
Dinner,Dinner Special 831,193,19,35,28,"Chicken, Rice, Vegetables, Pasta, Tomato Sauce, Cheese",https://example.com/dinner-special-831
Dinner,Dinner Special 8655,569,15,48,1,"Pasta, Tomato Sauce, Cheese, Smoothie, Berries, Almond Milk",https://example.com/dinner-special-8655
Dinner,Dinner Special 5025,542,64,24,26,"Smoothie, Berries, Almond Milk, Bread, Peanut Butter, Banana",https://example.com/dinner-special-5025
Dinner,Dinner Special 232,693,41,62,24,"Fruit Salad, Yogurt, Honey, Chicken, Rice, Vegetables",https://example.com/dinner-special-232
Snack,Snack Special 2799,807,47,64,4,"Fruit Salad, Yogurt, Honey, Chicken, Rice, Vegetables",https://example.com/snack-special-2799
Breakfast,Breakfast Special 4449,590,61,45,33,"Beef, Potatoes, Peas, Eggs, Bacon, Toast",https://example.com/breakfast-special-4449
Dessert,Dessert Special 3458,840,9,17,15,"Smoothie, Berries, Almond Milk, Pasta, Tomato Sauce, Cheese",https://example.com/dessert-special-3458
Dessert,Dessert Special 2964,521,50,72,25,"Eggs, Bacon, Toast, Beef, Potatoes, Peas",https://example.com/dessert-special-2964
Dinner,Dinner Special 8553,578,53,21,2,"Chicken, Rice, Vegetables, Fish, Quinoa, Spinach",https://example.com/dinner-special-8553
Dinner,Dinner Special 9216,727,47,41,34,"Fish, Quinoa, Spinach, Chicken, Rice, Vegetables",https://example.com/dinner-special-9216
Dinner,Dinner Special 8185,894,36,49,32,"Fruit Salad, Yogurt, Honey, Fish, Quinoa, Spinach",https://example.com/dinner-special-8185
Lunch,Lunch Special 4851,874,23,31,17,"Eggs, Bacon, Toast, Chicken, Rice, Vegetables",https://example.com/lunch-special-4851
Snack,Snack Special 1566,792,66,76,36,"Fish, Quinoa, Spinach, Chicken, Rice, Vegetables",https://example.com/snack-special-1566
Dessert,Dessert Special 1389,507,15,29,37,"Smoothie, Berries, Almond Milk, Eggs, Bacon, Toast",https://example.com/dessert-special-1389
Snack,Snack Special 134,801,15,72,7,"Pasta, Tomato Sauce, Cheese, Beef, Potatoes, Peas",https://example.com/snack-special-134
Breakfast,Breakfast Special 309,583,18,17,33,"Chicken, Rice, Vegetables, Fruit Salad, Yogurt, Honey",https://example.com/breakfast-special-309
Dinner,Dinner Special 6434,851,12,65,40,"Eggs, Bacon, Toast, Bread, Peanut Butter, Banana",https://example.com/dinner-special-6434
Breakfast,Breakfast Special 7805,756,56,53,8,"Chicken, Rice, Vegetables, Beef, Potatoes, Peas",https://example.com/breakfast-special-7805
Breakfast,Breakfast Special 1830,463,8,25,17,"Eggs, Bacon, Toast, Beef, Potatoes, Peas",https://example.com/breakfast-special-1830
Breakfast,Breakfast Special 1944,359,44,79,6,"Smoothie, Berries, Almond Milk, Fish, Quinoa, Spinach",https://example.com/breakfast-special-1944
Dinner,Dinner Special 1101,452,39,13,12,"Fruit Salad, Yogurt, Honey, Fish, Quinoa, Spinach",https://example.com/dinner-special-1101
Dinner,Dinner Special 828,577,47,59,29,"Fruit Salad, Yogurt, Honey, Beef, Potatoes, Peas",https://example.com/dinner-special-828
Lunch,Lunch Special 1065,332,24,41,15,"Fish, Quinoa, Spinach, Eggs, Bacon, Toast",https://example.com/lunch-special-1065
Breakfast,Breakfast Special 1678,719,61,41,26,"Smoothie, Berries, Almond Milk, Fruit Salad, Yogurt, Honey",https://example.com/breakfast-special-1678
Breakfast,Breakfast Special 5715,743,70,47,22,"Bread, Peanut Butter, Banana, Pasta, Tomato Sauce, Cheese",https://example.com/breakfast-special-5715
Dessert,Dessert Special 8072,516,43,50,27,"Smoothie, Berries, Almond Milk, Pasta, Tomato Sauce, Cheese",https://example.com/dessert-special-8072
