type,workout_title,duration,intensity,description
Cardio,Quick Cardio Burn,10,3,A fast-paced cardio workout to get your heart pumping and burn calories.
Strength,Upper Body Strength,12,2,Focus on arms and shoulders with exercises that build upper body strength.
HIIT,Full Body HIIT Blast,15,3,High-intensity interval training targeting the entire body for maximum calorie burn.
Flexibility,Quick Stretch & Flex,7,1,A series of stretches to improve flexibility and mobility.
Core,5-Minute Abs Burn,5,3,"A short, intense workout targeting your core muscles."
Strength,Lower Body Burn,10,2,Lower body exercises to tone legs and glutes.
Cardio,High-Intensity Cardio,20,3,A challenging cardio routine to increase heart rate and burn fat.
Core,Core Crunches,6,2,Focus on strengthening your abs and lower back muscles.
Flexibility,Deep Stretch & Relax,8,1,A relaxing stretch routine for flexibility and recovery.
Strength,Arm Toning Workout,12,2,Focus on exercises that tone and strengthen arms.
HIIT,Quick HIIT Circuit,10,3,Fast-paced interval training for a quick calorie burn.
Cardio,Sprint Intervals,15,3,Sprint intervals followed by short rest periods for fat burning.
Strength,Leg Day Burn,20,3,"Lower body workout targeting quads, hamstrings, and glutes."
Flexibility,Full Body Stretch Routine,10,1,A full-body stretch for improving flexibility and range of motion.
Core,Oblique Burn,7,2,Targeting the oblique muscles for a toned waistline.
Strength,Chest & Triceps Strength,12,2,Focus on strengthening chest and triceps with bodyweight exercises.
HIIT,Tabata HIIT,15,3,A high-intensity Tabata routine for maximum calorie burn.
Cardio,Jump Rope Challenge,10,3,A fast-paced jump rope workout for full-body conditioning.
Strength,Glutes & Hamstrings,15,2,A workout to strengthen and tone the glutes and hamstrings.
Flexibility,Yoga Flex & Flow,12,1,A gentle yoga routine to improve flexibility and reduce stress.
Core,Plank & Crunches,8,3,A combination of planks and crunches to target your core.
Strength,Back Strength Routine,12,2,Exercises focused on strengthening the back and improving posture.
HIIT,High-Energy Interval,20,3,A mix of high-energy exercises to boost stamina and burn fat.
Cardio,Steady-State Cardio,30,2,"A steady, moderate-intensity cardio routine for endurance."
Flexibility,Lower Body Stretch,8,1,Stretching routine focused on legs and hips.
Core,Mountain Climbers,5,3,Intense core workout targeting abs and hip flexors.
Strength,Squat & Deadlift Routine,15,3,A routine focused on squats and deadlifts for leg and core strength.
HIIT,Fat Burner HIIT,15,3,High-intensity workout for fat burning and endurance.
Cardio,Cycling Intervals,20,2,A mix of cycling intervals for improved cardiovascular fitness.
Strength,Bodyweight Strength Circuit,10,2,Full-body bodyweight exercises for strength and toning.
Flexibility,Morning Stretch Routine,7,1,A gentle stretch routine to start your day.
Core,Russian Twists,6,2,Focus on obliques and rotational movement for a strong core.
Strength,Shoulder Press Routine,12,2,Targeting shoulders with press exercises.
HIIT,30-Minute HIIT Workout,30,3,A full 30-minute HIIT workout for maximum calorie burn.
Cardio,Fast Walking Routine,20,2,Fast-paced walking to improve cardiovascular health.
Strength,Total Body Strength,15,2,A full-body strength workout focusing on all major muscle groups.
Flexibility,Hip Flexor Stretch,8,1,Focus on stretching the hip flexors for improved mobility.
Core,Leg Raises,5,3,Focus on strengthening the lower abs with leg raises.
Strength,Bicep & Back Routine,12,2,Strengthening biceps and back muscles.
HIIT,Cardio Power Circuit,20,3,A high-intensity cardio workout designed to burn calories fast.
Cardio,Walking Lunges,15,2,A low-impact cardio exercise to tone legs and improve endurance.
Strength,Full Body Strength Circuit,20,3,Full-body workout targeting all muscle groups.
Flexibility,Spinal Twist & Stretch,8,1,A gentle routine to stretch the spine and improve flexibility.
Core,Side Planks & Crunches,7,3,Combination of side planks and crunches for a stronger core.
